counties,countryCode,date,fixed,global,launchYear,name,types
"['GB-ENG', 'GB-NIR', 'GB-SCT', 'GB-WLS']",GB,2025-01-01,False,False,,New Year's Day,['Public']
['GB-SCT'],GB,2025-01-02,False,False,,2 January,['Public']
['GB-NIR'],GB,2025-03-17,False,False,,Saint Patrick's Day,['Public']
,GB,2025-04-18,False,True,,Good Friday,['Public']
"['GB-ENG', 'GB-WLS', 'GB-NIR']",GB,2025-04-21,False,False,,Easter Monday,['Public']
,GB,2025-05-05,False,True,,Early May Bank Holiday,['Public']
,GB,2025-05-26,False,True,,Spring Bank Holiday,['Public']
['GB-NIR'],GB,2025-07-14,False,False,,Battle of the Boyne,['Public']
['GB-SCT'],GB,2025-08-04,False,False,,Summer Bank Holiday,['Public']
"['GB-ENG', 'GB-WLS', 'GB-NIR']",GB,2025-08-25,False,False,,Summer Bank Holiday,['Public']
['GB-SCT'],GB,2025-12-01,False,False,,Saint Andrew's Day,['Public']
,GB,2025-12-25,False,True,,Christmas Day,['Public']
,GB,2025-12-26,False,True,,St. Stephen's Day,['Public']
,US,2025-01-01,False,True,,New Year's Day,['Public']
,US,2025-01-20,False,True,,"Martin Luther King, Jr. Day",['Public']
"['US-CA', 'US-CT', 'US-IL', 'US-IN', 'US-KY', 'US-MI', 'US-NY', 'US-MO', 'US-OH']",US,2025-02-12,False,False,,Lincoln's Birthday,['Observance']
,US,2025-02-17,False,True,,Presidents Day,['Public']
"['US-CT', 'US-DE', 'US-HI', 'US-IN', 'US-KY', 'US-LA', 'US-NC', 'US-ND', 'US-NJ', 'US-TN']",US,2025-04-18,False,False,,Good Friday,['Public']
['US-TX'],US,2025-04-18,False,False,,Good Friday,['Optional']
['US-MO'],US,2025-05-08,False,False,,Truman Day,"['School', 'Authorities']"
,US,2025-05-26,False,True,,Memorial Day,['Public']
,US,2025-06-19,False,True,,Juneteenth National Independence Day,['Public']
,US,2025-07-04,False,True,,Independence Day,['Public']
,US,2025-09-01,False,True,,Labor Day,['Public']
"['US-AL', 'US-AZ', 'US-CO', 'US-CT', 'US-GA', 'US-ID', 'US-IL', 'US-IN', 'US-IA', 'US-KS', 'US-KY', 'US-LA', 'US-ME', 'US-MD', 'US-MA', 'US-MS', 'US-MO', 'US-MT', 'US-NE', 'US-NH', 'US-NJ', 'US-NM', 'US-NY', 'US-NC', 'US-OH', 'US-OK', 'US-PA', 'US-RI', 'US-SC', 'US-TN', 'US-UT', 'US-VA', 'US-WV']",US,2025-10-13,False,False,,Columbus Day,['Public']
"['US-AK', 'US-AL', 'US-CA', 'US-HI', 'US-IA', 'US-LA', 'US-ME', 'US-MI', 'US-MN', 'US-NC', 'US-NE', 'US-NM', 'US-OK', 'US-OR', 'US-SD', 'US-TX', 'US-VA', 'US-VT', 'US-WI']",US,2025-10-13,False,False,,Indigenous Peoples' Day,['Public']
,US,2025-11-11,False,True,,Veterans Day,['Public']
,US,2025-11-27,False,True,,Thanksgiving Day,['Public']
,US,2025-12-25,False,True,,Christmas Day,['Public']
,CN,2025-01-01,False,True,,New Year's Day,['Public']
,CN,2025-01-29,False,True,,Chinese New Year (Spring Festival),['Public']
,CN,2025-04-05,False,True,,Qingming Festival (Tomb-Sweeping Day),['Public']
,CN,2025-05-01,False,True,,Labour Day,['Public']
,CN,2025-05-31,False,True,,Dragon Boat Festival,['Public']
,CN,2025-10-01,False,True,,National Day,['Public']
,CN,2025-10-06,False,True,,Mid-Autumn Festival,['Public']
