year_month,import_baht,import_us,import_rate,export_baht,export_us,export_rate,re_export_baht,re_export_us,tot_export_baht,tot_export_us,balance_baht,balance_us,balance_percent,year_month_th
2019-01-01,755505541597.00,22991017945.25,32.8609008789062,615506994764.00,18975518460.89,32.4369010925293,489198981.00,15081557.76,615996193745.00,18990600018.65,-139509347852.00,-4000417926.60,-17.3999156951904,มกราคม 2562
2019-02-01,558041337423.00,17496146349.22,31.8950996398926,679975131132.00,21600226528.97,31.4799995422363,377191823.00,11981951.18,680352322955.00,21612208480.15,122310985532.00,4116062130.93,23.5255355834961,กุมภาพันธ์ 2562
2019-03-01,608759989906.00,19679507782.97,30.9337005615234,663258751056.00,21149360539.02,31.3607006072998,2051460684.00,65415015.74,665310211740.00,21214775554.76,56550221834.00,1535267771.79,7.80135250091553,มีนาคม 2562
2019-04-01,633820002127.00,19901031823.28,31.8486003875732,582408811743.00,18537306775.79,31.4181995391846,532711139.00,16955495.19,582941522882.00,18554262270.98,-50878479245.00,-1346769552.31,-6.76733541488647,เมษายน 2562
2019-05-01,662742042650.00,20709265070.84,32.0022010803223,662304517986.00,20975399061.48,31.5753002166748,948567185.00,30041430.64,663253085171.00,21005440492.12,511042521.00,296175421.29,1.43015897274017,พฤษภาคม 2562
2019-06-01,580052653881.00,18102207453.72,32.0432014465332,676199566884.00,21389108909.41,31.614200592041,450777298.00,14258696.98,676650344182.00,21403367606.39,96597690301.00,3301160152.67,18.2362289428711,มิถุนายน 2562
2019-07-01,658395841078.00,21022921038.32,31.318000793457,655240401260.00,21214802864.08,30.8859996795654,584202679.00,18914805.38,655824603939.00,21233717669.46,-2571237139.00,210796631.15,1.00269901752472,กรกฎาคม 2562
2019-08-01,612905537088.00,19750503895.54,31.0324001312256,671157053927.00,21937968775.19,30.5933990478516,513523120.00,16785421.69,671670577047.00,21954754196.88,58765039959.00,2204250301.34,11.1604766845703,สิงหาคม 2562
2019-09-01,593058852209.00,19128154048.90,31.0044994354248,623253502496.00,20391084655.52,30.5650005340576,533638776.00,17459145.30,623787141272.00,20408543800.82,30728289063.00,1280389751.92,6.69374465942383,กันยายน 2562
2019-10-01,620986043281.00,20226767790.22,30.7012004852295,628184891488.00,20753338932.71,30.269100189209,514059113.00,16982966.56,628698950601.00,20770321899.27,7712907320.00,543554109.05,2.68730092048645,ตุลาคม 2562
2019-11-01,580844588429.00,19069218722.02,30.4598007202148,589225897721.00,19631636388.26,30.0140991210938,520197751.00,17331779.10,589746095472.00,19648968167.36,8901507043.00,579749445.34,3.04023694992065,พฤศจิกายน 2562
2019-12-01,560536548502.00,18451083901.76,30.3796005249023,572173233897.00,19112322175.51,29.9374008178711,1996109359.00,66676109.45,574169343256.00,19178998284.96,13632794754.00,727914383.19,3.94510364532471,ธันวาคม 2562
2020-01-01,638351941275.00,21011620500.87,30.3808994293213,588098370560.00,19645910644.77,29.9349002838135,821621268.00,27446935.45,588919991828.00,19673357580.22,-49431949447.00,-1338262920.66,-6.36915636062622,มกราคม 2563
2020-02-01,506926839593.00,16575878765.85,30.5821990966797,626472957954.00,20779848745.16,30.148099899292,302569812.00,10036115.44,626775527766.00,20789884860.60,119848688173.00,4214006094.75,25.4225196838379,กุมภาพันธ์ 2563
2020-03-01,646156764312.00,20591356415.30,31.3799991607666,691024000862.00,22329344808.75,30.9468994140625,1019590436.00,32946448.14,692043591298.00,22362291256.89,45886826986.00,1770934841.60,8.60037994384766,มีนาคม 2563
2020-04-01,537451050450.00,16377164662.63,32.8171005249023,613888822472.00,18945431672.13,32.4029998779297,233816501.00,7215890.53,614122638973.00,18952647562.66,76671588523.00,2575482900.03,15.7260608673096,เมษายน 2563
2020-05-01,444406107603.00,13612213688.08,32.6475982666016,524497000381.00,16275685952.90,32.2257995605469,292498175.00,9076521.76,524789498556.00,16284762474.66,80383390953.00,2672548786.58,19.6334609985352,พฤษภาคม 2563
2020-06-01,474881974679.00,14799455702.14,32.0877990722656,521432543101.00,16470330400.01,31.658899307251,275120016.00,8690131.87,521707663117.00,16479020531.88,46825688438.00,1679564829.75,11.3488283157349,มิถุนายน 2563
2020-07-01,480766743496.00,15394782559.14,31.2292003631592,579829302916.00,18825137753.43,30.8008003234863,275990434.00,8960495.64,580105293350.00,18834098249.07,99338549854.00,3439315689.93,22.3407878875732,กรกฎาคม 2563
2020-08-01,499495594879.00,15678172303.82,31.8593006134033,633822145741.00,20167884156.16,31.4272994995117,221384280.00,7044330.25,634043530021.00,20174928486.41,134547935142.00,4496756182.59,28.6816349029541,สิงหาคม 2563
2020-09-01,542310211595.00,17210023439.05,31.5112991333008,610921451856.00,19656164394.80,31.0804004669189,457235160.00,14711366.65,611378687016.00,19670875761.45,69068475421.00,2460852322.39,14.2989482879639,กันยายน 2563
2020-10-01,538976550402.00,17163874376.69,31.4018001556396,599403897726.00,19346593476.49,30.982400894165,937551221.00,30260768.08,600341448947.00,19376854244.57,61364898545.00,2212979867.88,12.8932418823242,ตุลาคม 2563
2020-11-01,589346298566.00,18783706297.48,31.3754005432129,586445239888.00,18949925514.44,30.9470996856689,306027048.00,9888714.87,586751266936.00,18959814229.31,-2595031630.00,176107931.83,0.937556862831116,พฤศจิกายน 2563
2020-12-01,577197354695.00,18958130805.63,30.4458999633789,602401233445.00,20069337468.18,30.0160007476807,187241690.00,6238062.70,602588475135.00,20075575530.88,25391120440.00,1117444725.26,5.89427709579468,ธันวาคม 2563
2021-01-01,596690149708.00,19736712137.86,30.2325000762939,588814034704.00,19754882731.80,29.8059997558594,371338447.00,12458513.29,589185373151.00,19767341245.09,-7504776557.00,30629107.22,0.155188500881195,มกราคม 2564
